title,link,description,pubDate,creator
"Current Climate Pledges Aren't Enough to Stop Severe Warming",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/m-3yxFOcXao/,,"2017-10-31 19:36:29","Michael Greshko"
"Where There Is Gravity, Let There Be Light",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/kxyZsOWrY-0/,,"2017-10-31 18:30:00",
"How Baby Bats Learn to Speak in Dialects",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/kHARSo7ljaM/,,"2017-10-31 18:00:00","Jason Bittel"
"Ghostly Image of Scottish Queen Found Beneath Painting",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/lWOVrVHb6YI/,,"2017-10-31 16:55:32","Sarah Gibbens"
"'Golden Wonder' Rediscovered After 42 Years",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/uU4Sid_oZMg/,,"2017-10-31 15:54:20","Jason Bittel"
"Secret Soviet Posters Demystify Map Symbols",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/j0F3H59sqUU/,,"2017-10-31 15:51:02","Greg Miller"
"Ancient Winged Terror Was One of the Largest Animals to Fly",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/RYMbj-0G95w/,,"2017-10-31 13:00:00","John Pickrell"
"Why Dozens of Octopuses Marched Out of the Sea",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/AfLND4OPhn4/,,"2017-10-30 21:33:00","Sarah Gibbens"
"Recent Hurricanes Pushed Rare Island Species Closer to the Brink",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/BPO3EqnyB5E/,,"2017-10-30 04:01:28","Justin Nobel"
"Scott Kelly Spent a Year in Space—Find Out How Hard It Was",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/_1kCquBICsI/,,"2017-10-28 04:01:00","Simon Worrall"
"6 Ghostly Animals Just in Time for Halloween",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/_Axvte40Z1c/,,"2017-10-28 04:00:00","Liz Langley"
"First Rock From Outside the Solar System Sails Past Earth",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/5MVo62aEhos/,,"2017-10-27 21:57:00","Michael Greshko"
"Halloween Sky Guide: 6 Eerie Sights to Haunt Your Night",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/eA9HiRzPIZE/,,"2017-10-27 21:55:03","Andrew Fazekas"
"Love It or Hate It, Halloween Is Going Global",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/LG4nxTFBSwI/,,"2017-10-27 20:05:24","Brian Handwerk"
"Mysterious Balls of Light Aren't UFOs, Says Science",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WjaFGSgkROk/,,"2017-10-27 19:42:04","Sarah Gibbens"
"Everything You Need to Know About Halloween 2017",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/TBlAKggddDY/,,"2017-10-27 16:53:00","Brian Handwerk"
"Daylight Saving Time Is Even Weirder Than You Think",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Aj_N-j_SqcI/,,"2017-10-27 16:20:00","Erin Blakemore"
"Mysterious Brain-Eating Shark Killer Identified, Though Questions Remain",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/BWrW-JXj5V0/,,"2017-10-27 12:56:22","Eric Simons"
"Martin Luther and the Long March to Freedom of Conscience",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/KHNd1k_8sfI/,,"2017-10-27 04:15:30","Joseph Loconte"
"Watch: 101 Pangolins Destined for Black Market Rescued from Fishing Boat",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/QbKi5kX2K8U/,"The seizure points to a changing tactic among wildlife smugglers.","2017-10-26 22:52:06","Rachael Bale"
"Are We Born Fearing Spiders and Snakes?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/PTTnNz2SB3w/,,"2017-10-26 22:48:00","Sarah Gibbens"
"See How Vets Removed a Melon-Size Tongue From a Rescued Bear",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/gc2Q_CpS5MI/,,"2017-10-26 18:59:19","Elaina Zachos"
"Ornate Funeral Honors Thailand's Longest-Reigning King",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/D2EMQg1zxtE/,,"2017-10-26 18:25:43","Michael Greshko"
"Dinosaur May Have Looked Like a Raccoon",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/4bDSEMNqpes/,,"2017-10-26 16:00:19","Elaina Zachos"
"First Nations Fight to Protect the Rare Spirit Bear from Hunters",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Ir5g5ALXKd0/,"An indigenous community reconnects with its heritage by working to end hunting and promote bear-watching in British Columbia’s Great Bear Rainforest.","2017-10-26 15:53:00","Krista Langlois"
"A Running List of How Trump Is Changing the Environment",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/HVEipnxHppU/,,"2017-10-25 23:00:00","Michael Greshko"
"Stunning Jurassic 'Sea Monster' Found in India",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qa-1OTXEcDM/,,"2017-10-25 18:01:06","Michael Greshko"
"50 Ways an Earthquake Could Shatter—or Spare—These Major Northwest Cities",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Hz9HG7yxXTk/,,"2017-10-25 16:28:17","Tim Folger"
"How Dog and Cat 'Kisses' Can Turn Deadly",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/aHJFMF18-5A/,,"2017-10-24 21:46:00","Erika Engelhaupt"
"Rare Solar Navigation Tool Found in Ancient Shipwreck",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/nJ3cuGUMpTs/,,"2017-10-24 21:37:40","Sarah Gibbens"
"Rare Albino Mammal Caught on Camera",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zi0oRwgoDJA/,,"2017-10-24 20:25:12","Elaina Zachos"
"50 Years On, Chimps Studied By Jane Goodall Still Reveal Discoveries",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/SbUw4bJrUbs/,,"2017-10-24 20:18:00","Michael Greshko"
"How Mosquitoes Use Stealth to Steal Your Blood",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/r7rixjwnkPQ/,,"2017-10-23 22:09:19","Elaina Zachos"
"Why the Scent of Blood Lures Wolves But Repels People",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/HtslUDL6SQw/,,"2017-10-23 21:54:49","Sarah Gibbens"
"She Almost Died Giving Birth. Now She Helps Moms Around the World",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/nPJB-woLzNU/,,"2017-10-23 19:05:00","Rachel Brown"
"First Half-Earth Day Offers a Chance to Halt Species Extinction",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/3VeIKKukx9c/,,"2017-10-23 12:56:00","Edward O. Wilson"
"Here's What You Need to Know About Half-Earth Day",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/iITrYII60Vc/,,"2017-10-23 10:00:00","Sarah Gibbens"
"Burn, Mummify, Compost—Different Ways to Treat the Dead",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/9_-Qv7sSlWk/,,"2017-10-21 04:02:00","Simon Worrall"
"Raccoons Pass Famous Intelligence Test—By Upending It",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/LjU3LyPpW8I/,,"2017-10-21 04:01:48","Liz Langley"
"How to See a Space Station Fall From the Sky",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/D8WJjej0Rxo/,,"2017-10-20 21:46:00","Andrew Fazekas"
"Ancient Teeth Found in Europe Belonged to Mystery Primate",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/9hndg_YoWpQ/,,"2017-10-20 21:18:00","Michael Greshko"
"How to Watch the 2017 Orionid Meteor Shower",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Y-tjA50RcwE/,,"2017-10-20 17:27:13","Sarah Gibbens"
"How a Runaway Nun Helped an Outlaw Monk Change the World",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zo1FN_JPlKM/,,"2017-10-20 17:10:42","Andrew Curry"
"Bringing Communities Together to Build a Brighter Future",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/K5L0bmP14mU/,,"2017-10-20 13:45:00",
"Male Dolphins Offer Likely Love Token to Females in Rare Video",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/F41RiHc9quU/,,"2017-10-20 10:01:23","John Pickrell"
"Witness the Harrowing Capture of a Wild Sloth for the Black Market",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qpYvy_kfj1w/,,"2017-10-20 00:01:13","Natasha Daly"
"Why This Massive Mud Volcano Turned Deadly",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/ep6E9AlLhcc/,,"2017-10-19 21:35:22","Sarah Gibbens"
"Kiwi Coffin Club Throws Glitter on the Idea of Dying",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/HisS1XTIHG0/,,"2017-10-19 20:52:37","Austa Somvichian-Clausen"
"Explore Your Favorite Movie Worlds Through Beautiful, Hand-Painted Maps",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/x56Aiu3RbRE/,,"2017-10-19 18:04:00","Betsy Mason"
"Great Tits May Be Evolving Bigger Beaks. Here's Why.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/RVqSAAiNyzY/,,"2017-10-19 18:00:00","Jason Bittel"
"This Saber-Toothed Cat Mingled With Modern Humans",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Hs1q4f26g4w/,,"2017-10-19 16:00:00","Michelle Z. Donahue"
"Dogs Show 'Sad Puppy Face' More Often When Being Watched",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/K-ZOAo0HI0Q/,,"2017-10-19 14:47:50","Michael Greshko"
"Poachers Target Rescued Circus Lions in Worrying New Trend",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/VsPi9CtGugM/,"At least 20 captive lions in a single province of South Africa have been killed or attacked by poachers so far this year.","2017-10-19 14:47:25","Laurel Neme"
"Stunning Photos Show the Alaska Refuge Under Threat",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/wNu5vcPl_UI/,,"2017-10-18 22:22:00","Sarah Gibbens"
"See the World's First Floating Wind Farm",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/JyHuWhSnXJc/,,"2017-10-18 20:45:34","Sarah Gibbens"
"Jerusalem Find May Have Been Ancient Music Hall",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/MfG72BYBLvM/,,"2017-10-18 15:09:36","Sarah Gibbens"
"A Fresh Perspective on Coexistence",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zKwCwXypMZg/,,"2017-10-17 19:17:23",
"Incredible Photo Catches the Moment a Frog Swallows a Snake",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/eIrURMtROnM/,,"2017-10-17 19:01:09","Sarah Gibbens"
"How Volcanoes Caused Violent Uprisings in Cleopatra's Egypt",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WVp2N90BZII/,,"2017-10-17 17:03:01","Craig Welch"
"Once Thought Loners, Cougars Revealed to Have Rich Society",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Efqv09Z1kbU/,,"2017-10-17 16:22:00","Michael Greshko"
"Monarch Butterflies Migrate 3,000 Miles—Here's How",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/7Pw2GddsYCY/,,"2017-10-17 04:00:00","Jason Bittel"
"3 Weird Impacts From Storm Ophelia Explained",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Sl8FWVMGg6s/,,"2017-10-16 22:11:31","Elaina Zachos"
"What Are Gravitational Waves, and Why Do They Matter?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/eclSbeYj6BE/,,"2017-10-16 19:03:00","Nadia Drake"
"Here's What We Know About Fiery Oil Rig Explosion",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/8nUtPHYdLOY/,,"2017-10-16 18:26:20","Sarah Gibbens"
"In a First, Gravitational Waves Linked to Neutron Star Crash",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zksofGUNa64/,,"2017-10-16 14:01:00","Nadia Drake"
"North Korean Diplomats Accused of Smuggling Ivory and Rhino Horn",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qht1qHenh3U/,"A new report identifies at least 18 instances of diplomats being implicated in smuggling, but they've rarely been caught or punished.","2017-10-16 13:53:54","Rachel Nuwer"
"Food for Change",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/4mPKU0VKXYI/,,"2017-10-16 13:50:51",
"Why Race Is Not a Thing, According to Genetics",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/QO4kTYe9u3U/,,"2017-10-14 04:02:39","Simon Worrall"
"Why Do We Call Baby Deer Fawns?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Na_SXZplpxc/,,"2017-10-14 04:01:00","Liz Langley"
"Can We Engineer a Way to Stop a Hurricane?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/pFLMzdGRec8/,,"2017-10-13 19:14:43","Cynthia Barnett"
"The Soviet Military Program that Secretly Mapped the Entire World",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WBkdnns6PC4/,,"2017-10-13 15:14:51","Greg Miller"
"Queen Ants and Other Insects Bury Their Dead—Here's Why",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/lnn3EF3HNac/,,"2017-10-13 00:00:00","Allie Wilkinson"
"Do Viking Funeral Clothes Reveal Surprising Arabic Lettering?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/WpxNZGeXclA/,,"2017-10-12 22:17:00","Austa Somvichian-Clausen"
"Watch a Daring Rescue of a Kitten From Deep Underground",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/tNn0-uyx-7I/,,"2017-10-12 21:36:59","Heather Brady"
"U.S. to Withdraw From UNESCO. Here's What That Means.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/VA2phRvie2o/,,"2017-10-12 15:23:33","Michael Greshko"
"Some Animals Don't Actually Sleep for the Winter, and Other Surprises About Hibernation",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/2smiG0mcgRQ/,,"2017-10-12 04:01:00","Christie Wilcox"
"Mysterious Blue Whale Behavior Likely Filmed for First Time",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/BZkdwAI3rzo/,,"2017-10-12 04:01:00","Sarah Gibbens"
"Yellowstone Supervolcano May Rumble to Life Faster Than Thought",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Ns0MI0v6Uy0/,,"2017-10-11 21:41:52","Victoria Jaggard"
"Wildfires: How They Form, And Why They're So Dangerous",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/02S8SO9Drd0/,,"2017-10-11 18:27:00","Austa Somvichian-Clausen"
"First Rings Found Circling Weird World Near Pluto",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/QRE5B4U7Agw/,,"2017-10-11 17:00:00","Michelle Z. Donahue"
"Hole the Size of Maine Opens in Antarctica Ice",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Ql7G951HCZs/,,"2017-10-11 16:28:21","Heather Brady"
"Anthrax May Have Killed 100 Hippos in Namibia",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/vcTfzbW9_ys/,,"2017-10-10 21:55:33","Sarah Gibbens"
"Birds Once Turned Black From Pollution—What That Teaches Us Today",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/svi7NZ72UhM/,,"2017-10-10 19:27:15","Sarah Gibbens"
"Squirrels Gone Wild: Their Quirky Behaviors Explained",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/_13pZ5etwKQ/,,"2017-10-10 17:29:32","Sarah Gibbens"
"Warming Oceans May Make ‘Nemo’ Harder to Find",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/66XL2cE7auA/,,"2017-10-10 15:00:00","Craig Welch"
"Friday the 13th Is Back. Here's Why It Scares Us.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/lJhfbJ4yMzU/,,"2017-10-10 14:57:43","Brian Handwerk"
"Life-Size Dolls Have Taken Over This Near-Deserted Town",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/bqf1Kqyrupo/,,"2017-10-10 14:51:38","Austa Somvichian-Clausen"
"Surprise Meteor Lights Up Harvest Moon Festival",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/Rr0y5zN5W-4/,,"2017-10-09 20:16:41","Alexandra E. Petri"
"Huge 'Tree Lobster' Not Extinct After All",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/v1Am1N_ZBXo/,,"2017-10-09 19:44:30","Sarah Gibbens"
"How 'Talking' Corpses Were Once Used to Solve Murders",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/q6XXnw8vKxI/,,"2017-10-09 15:50:00","Erika Engelhaupt"
"Poachers Work Across Borders, So Why Not Conservation Efforts?",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/CVBI33lHiFk/,"A new study finds that three-quarters of African savanna elephants cross country borders, but the treaty that protects them from the illegal ivory trade doesn’t account for that.","2017-10-09 11:35:43","Rachael Bale"
"Morgan Freeman Seeks What Unites Humankind",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/cAFOptovBWU/,,"2017-10-09 04:12:43","Austa Somvichian-Clausen"
"Nate Sweeps Through Gulf Coast—Here's the Storm Explained",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/0fqDfD2p-Cw/,,"2017-10-08 16:45:00","Brian Clark Howard"
"Watch a Wall of Water Race Up a River",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/zBgXXslBQOg/,,"2017-10-07 12:00:00","Michael Greshko"
"This Woman Saved the Americas From the Nazis",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/1ibDQke-snA/,,"2017-10-07 04:02:09","Simon Worrall"
"This Bug's Penis Is a Built-In Violin",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/luBbCBh6JK8/,,"2017-10-07 04:00:00","Liz Langley"
"These Giant Invasive Beasts May Actually Be Good for the Planet",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/AX4v_9fmjQQ/,,"2017-10-06 16:42:44","Emma Marris"
"Largest Marine Protected Area in North America to Be Created off Mexico",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/qv6UNzOONJA/,,"2017-10-06 16:25:00","Brian Clark Howard"
"Inside an Ancient Pagan Ritual That Makes Men Become Monsters",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/nbsssZSxeZY/,,"2017-10-06 16:04:30","Austa Somvichian-Clausen"
"Nearly 900 People Have Won Nobel Prizes. Only 48 Were Women.",http://feeds.nationalgeographic.com/~r/ng/News/News_Main/~3/NWTydoSuObI/,,"2017-10-06 13:34:00","Michael Greshko"
